Alter;Baden-Württemberg_M;Baden-Württemberg_F;Bayern_M;Bayern_F;Berlin_M;Berlin_F;Brandenburg_M;Brandenburg_F;Bremen_M;Bremen_F;Hamburg_M;Hamburg_F;Hessen_M;Hessen_F;Mecklenburg-Vorpommern_M;Mecklenburg-Vorpommern_F;Niedersachsen_M;Niedersachsen_F;Nordrhein-Westfalen_M;Nordrhein-Westfalen_F;Rheinland-Pfalz_M;Rheinland-Pfalz_F;Saarland_M;Saarland_F;Sachsen_M;Sachsen_F;Sachsen-Anhalt_M;Sachsen-Anhalt_W;Schleswig-Holstein_M;Schleswig-Holstein_F;Thüringen_M;Thüringen_F
unter 1 Jahr;55479;53122;65226;62284;20228;19134;10371;9745;3551;3408;10640;9970;31210;29581;6658;6362;37899;35715;88328;83732;19263;18259;4218;3915;18362;17389;8781;8478;12928;12332;8940;8470
1-Jährige;56000;53322;65516;62979;20391;19157;11037;10563;3548;3290;10579;9893;31386;30011;6797;6541;38122;36702;89664;84322;19984;18587;4266;4058;19057;18250;9376;8893;13275;12532;9363;8913
2-Jährige;56219;53135;65601;62258;20274;19422;11530;10985;3516;3275;10363;10082;31652;30296;6967;6803;38731;37053;89853;85641;19973;18806;4166;4177;19581;18687;9596;9001;13388;12831;9568;9221
3-Jährige;53806;52050;63157;60187;19400;18160;11331;10598;3438;3176;9734;9298;30822;29060;7207;6920;37644;35393;87162;82031;19209;18293;4231;3785;19589;18316;9358;9065;13125;12421;9730;9067
4-Jährige;53378;50045;62129;58670;18805;18117;11578;11054;3327;3053;9424;9092;29813;28622;7083;6806;37683;35450;85701;80858;18925;18036;4127;3922;19357;18461;9646;8952;12993;12529;9764;9231
5-Jährige;51639;48614;60015;57662;17951;16951;11232;10575;3045;2942;8977;8585;28986;27535;6999;6727;35924;34192;82491;77033;18171;17410;3969;3575;19073;17737;9297;8883;12733;12112;9597;9097
6-Jährige;50781;48013;59934;56435;17784;16751;11496;11067;2986;2858;8764;8241;28939;27280;7128;6708;35870;33954;82074;77709;18167;16936;3996;3723;19001;17993;9363;8917;13029;12258;9569;9025
7-Jährige;49816;47445;57799;54533;16769;15830;11378;10906;2874;2645;8181;7833;28806;27182;7106;6675;35337;33464;80195;75923;17958;16954;4098;3767;18701;17602;9235;8705;12561;12067;9378;8890
8-Jährige;51462;48578;58421;55592;16867;16078;11973;11087;2975;2858;8349;7903;29137;27831;7322;7035;36738;34549;82738;77799;18293;17222;3988;3883;18734;18016;9341;8993;13241;12543;9537;9155
9-Jährige;50795;48303;57814;54692;16565;15858;11469;10883;3063;2818;8318;7668;28912;27223;7117;6918;36373;34191;81607;76827;17919;16857;3963;3813;18495;17214;9266;8750;13162;12200;9049;8807
10-Jährige;52065;49640;59392;56285;16712;15563;11783;11156;2976;2892;8398;7891;29349;28046;7216;6920;37296;35408;84562;79431;18687;17461;4157;3916;18500;17546;9541;9041;13274;12907;9433;8901
11-Jährige;52107;49991;59172;56374;16228;15040;11478;10869;3114;2961;8272;7624;29658;27704;6925;6625;37700;35212;84030;79251;18638;17333;4094;3819;18004;17023;9239;8699;13633;12800;9289;8624
12-Jährige;51793;49129;58428;54982;15198;14667;11023;10280;3051;2845;8169;7448;28738;27449;6803;6358;37280;34982;83376;78412;18231;16924;4163;3711;17077;16295;9030;8169;13411;12614;8808;8079
13-Jährige;52765;50229;59296;56068;14994;14079;10781;10233;3115;2678;8038;7515;29523;27780;6449;6363;37963;35821;84731;79368;18405;17457;4199;3929;17073;16307;8829;8537;13435;12703;8772;8325
14-Jährige;54164;50880;60280;57926;14991;14204;11001;10248;2996;2803;7955;7419;29918;28199;6846;6501;39224;37238;86447;81461;19128;17582;4282;3965;17217;16506;8947;8351;14052;13238;9113;8540
15-Jährige;54621;50783;61129;58305;14381;13650;11015;10173;2969;2900;7884;7274;29778;28034;6745;6359;39450;37536;87724;81866;19190;18172;4285;3959;16642;15994;8721;8079;14111;13422;8793;8407
16-Jährige;55740;51960;62514;59150;14645;13619;10755;10162;3043;2746;7737;7366;30565;28243;6710;6140;41125;38636;89860;83997;19675;18495;4477;4096;16481;15704;9144;8242;14563;13717;8900;8310
17-Jährige;57247;53126;65153;60102;14639;13871;10829;9932;3326;3004;8021;7557;31515;28882;6859;6325;42807;40157;92928;86164;20566;19000;4645;4299;16904;15435;9244;8343;15052;14171;9134;8508
18-Jährige;61715;56726;69065;63825;15783;14683;11151;10212;3634;3252;8814;7970;33257;30784;7245;6476;45876;41896;98916;90640;22101;20457;4958;4518;18034;16457;9863;8423;16151;15153;9365;8362
19-Jährige;65970;58489;74309;65778;16504;15651;10854;9328;4092;3740;9224;8526;35002;31260;6962;6209;47220;41918;102119;92275;22751;20943;5162;4666;18113;16371;9884;8207;16917;15198;9447;8013
20-Jährige;68726;61306;78601;69697;17418;17320;10417;8767;4759;3862;10023;9439;36760;33123;6713;6180;47893;43327;105737;96170;23152;21749;5331;4650;17572;16269;9318;8412;16357;15155;9190;8266
21-Jährige;72216;64293;82041;73051;19265;18746;9983;8362;4648;4282;11229;10647;39535;35322;6826;6242;49750;44878;111367;101607;24709;22623;5588;5029;17720;16378;9604;8426;17195;15196;9381;8379
22-Jährige;72040;64342;81439;73510;19945;20218;9505;7837;4756;4278;11441;11265;38786;35226;6586;5840;49102;44039;111238;101692;24544;22126;5641;5063;17394;15824;9233;7996;16610;15228;8786;7993
23-Jährige;71768;64056;81251;73391;20857;21174;8479;7205;4609;4464;11724;11671;38314;34936;5895;5363;48146;43054;109892;100329;23859;21750;5569;4999;16639;14869;8782;7390;16045;14573;8537;7334
24-Jährige;72902;65289;82756;75180;22363;22746;8061;6965;4808;4416;12440;12607;38937;35909;5649;5053;48689;43350;112584;103072;24484;22555;5656;5333;16394;14594;8375;7268;16479;14805;7999;6930
25-Jährige;75126;67526;86680;79152;23925;24446;7829;6989;5044;4625;13013;13495;39773;37105;5813;5107;49972;44246;115446;107454;25495;23165;5978;5388;16814;14835;8387;7296;16527;15074;8138;7229
26-Jährige;76104;67815;87712;81435;25372;26069;8532;7372;5057;4676;13609;14062;40135;37427;6298;5703;49476;44461;116738;108850;25611;23757;6083;5611;17316;15525;8755;7839;16599;15235;8495;7635
27-Jährige;77398;70380;90507;82717;27799;28023;9365;8630;5247;4779;14615;15117;41292;39060;7006;6381;49866;45133;118550;111694;26363;23934;6293;5646;19725;17752;9654;8608;16836;15572;9500;8477
28-Jährige;81173;73718;95084;87091;32760;32851;13641;12794;5554;4849;15863;16328;43557;41162;10092;9429;52239;46997;123279;115635;27294;24717;6471;5871;27762;24882;13978;11983;17792;16381;13439;11793
29-Jährige;79366;71997;91975;85687;33458;33752;14532;13754;5335;4937;15734;16176;43194;40654;10681;9723;50740;46181;118706;113107;26505;24349;6331;5685;28700;25519;14111;12599;17210;16017;13512;12274
30-Jährige;80869;73142;94434;87076;34365;34181;15348;14452;5412;5035;16160;16517;43746;40942;11197;10121;51818;47429;120983;114847;27131;24886;6392;5883;29216;26404;14715;13112;17847;16354;14565;13010
31-Jährige;77487;70861;91866;84496;34100;33407;15687;15082;5173;4781;15752;15798;42051;40193;11367;10330;50271;46647;117857;112293;26004;24540;6326;5817;29712;26755;14532;13149;17388;16148;14686;13079
32-Jährige;76254;70850;90514;84419;33166;32173;15419;14939;5029;4629;15438;15351;41226;39735;10881;10098;49063;46115;114832;111235;25583;24266;6228;5753;28193;25809;14183;12674;16608;16059;14334;12601
33-Jährige;73686;68476;86454;81686;32467;31069;15996;15083;4831;4425;14726;14938;39986;38098;10745;9985;46648;45192;109992;107567;24588;23328;5881;5464;28704;25570;14083;12570;16004;15822;14153;12576
34-Jährige;72959;68353;86016;81911;31401;29830;15681;15027;4613;4310;14655;14640;39829;39159;10576;9762;46419;44317;109320;107039;24416;23529;5764;5505;27876;25208;14062;12655;15943;15845;14199;12536
35-Jährige;71628;68652;86487;82361;30544;29357;15960;15228;4657;4473;14386;14412;39420;38996;10686;9766;46466;45425;109302;107710;24503;23653;5864;5534;28102;25294;14289;12619;16185;16251;14315;12659
36-Jährige;73207;70210;87848;85225;30450;28965;16429;15439;4676;4547;14409;14425;40579;40314;10928;9856;47099;46467;111384;110504;25191;24389;5961;5663;28584;25250;14160;12420;16497;17056;14651;12892
37-Jährige;72314;70157;86924;85292;29366;28483;16204;15480;4559;4154;14135;14589;39937;40793;10595;9501;46871;46973;109831;110159;24947;24737;6003;5551;27669;24548;14039;12309;16533;17102;14236;12525
38-Jährige;72461;70789;86179;84819;29088;27327;16935;15982;4450;4187;14149;14242;40523;40818;10662;9875;47013;47582;109752;111231;24309;24521;5932;5632;28298;25143;14278;12646;16830;17673;14581;12862
39-Jährige;67702;67094;82601;81318;26653;25461;16335;15352;4312;3884;13259;13238;38731;39394;10659;9389;45096;45333;103499;105984;23562;23441;5416;5572;27359;23858;13724;12033;16031;16754;13928;12300
40-Jährige;66456;65244;80901;80327;25686;24131;16238;15563;4171;3868;13016;12771;38306;38937;10518;9360;45072;45188;102460;104601;23282;23073;5199;5409;27093;24161;13575;12058;16388;16627;13486;11905
41-Jährige;66138;64915;81025;79372;24731;23606;15672;14972;4013;3968;12786;12430;37619;38746;10294;8950;44781;44879;103285;104211;22819;23187;5307;5467;26570;23466;13039;11603;16108;16698;13222;11762
42-Jährige;66443;64956;80022;78848;23389;22597;14471;13613;4112;3929;12397;12502;37684;38604;8957;7893;44822;45183;102855;105273;22755;22718;5176;5146;23469;21162;11675;10370;16163;16897;11805;10627
43-Jährige;64905;64185;78353;77580;22534;21386;13862;12888;4005;3893;11925;11702;37124;37379;8480;7464;44112;43949;100719;102500;22276;22526;5087;5009;22587;19957;11289;9807;15975;16444;11465;10066
44-Jährige;65982;65999;79438;78959;21916;20906;13380;12813;4021;3745;12080;11596;37811;37910;8294;7371;45129;45769;101642;104296;22306;22956;5106;5215;22449;19586;11373;10299;16012;16485;11870;10367
45-Jährige;65674;65541;79062;78575;21041;20406;13630;13174;3950;3873;11450;11527;37726;38272;8474;7671;45926;46856;103028;105506;22960;23289;5117;5244;22611;19862;11955;10601;16545;17064;12196;10862
46-Jährige;71023;70665;85072;84790;21952;20976;15396;14319;4208;4074;12093;11851;40336;40786;9173;8457;50588;50688;111793;113390;24852;25475;5649;5800;24796;21663;13648;12309;17935;18557;13884;12071
47-Jährige;76675;75492;92159;91276;24156;22997;17980;16886;4477;4394;12836;12471;43636;43907;10680;9695;55326;56008;122171;124033;27366;27668;6202;6486;28782;25394;16146;14584;20227;20742;15489;13678
48-Jährige;79504;78547;95692;94517;24381;23308;18030;17424;4704;4463;13192;12765;45698;45747;10778;10057;57954;58616;128241;128729;28704;28924;6500;6581;28544;25579;16066;14978;21256;21508;15539;14212
49-Jährige;85515;83610;103968;101269;25534;24204;18673;18220;5032;4780;13700;13197;49314;48539;11120;10517;63338;63035;140566;140582;31193;31240;7254;7374;28446;26086;16520;15550;23596;23818;15614;14421
50-Jährige;89153;87472;108372;105090;26584;25507;19646;19305;5320;5088;14737;14055;51814;50618;11757;11332;66621;66041;147104;146876;33185;32941;7745;7935;28771;26710;16957;15955;25026;25425;15712;14843
